article_id,symbol,company,date_publication,source,api_source,titre,contenu,score_sentiment,sentiment,confiance,poids,score_pondere,url,date_analyse,ajout_date
6d076c534760cec1,NVDA,Nvidia,2026-01-12,MarketScreener,gnews,"Alphabet crosses the $4 trillion valuation mark, driven by the AI boom","Alphabet crosses the $4 trillion valuation mark, driven by the AI boom. Alphabet reached a market capitalization of $4 trillion on Monday, becoming the world's fourth company to cross this threshold, alongside Nvidia, Microsoft and Apple. The stock rose by about 1% in early trading, notably buoyed b...",0.948,positive,0.948,1.56,1.479,https://www.marketscreener.com/news/alphabet-crosses-the-4-trillion-valuation-mark-driven-by-the-ai-boom-ce7e58dad189fe20,2026-01-13 11:04:08,2026-01-13
73986f7b617ebece,NVDA,Nvidia,2026-01-12,Investor's Business Daily,gnews,"Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily","Dow Falls On Powell Investigation; Nvidia, Tesla Slide (Live)| Investor's Business Daily. Information in Investor’s Business Daily is for informational and educational purposes only and should not be construed as an offer, recommendation, solicitation, or rating to buy or sell securities. The inform...",0.0,neutral,0.949,1.56,0.0,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-powell-nvidia-nvda-tesla-tsla/,2026-01-13 11:04:08,2026-01-13
ce7c78e43f90f687,NVDA,Nvidia,2026-01-12,scanx.trade,gnews,Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum,"Alphabet Crosses $4 Trillion Market Cap Milestone on AI Partnership Momentum. Alphabet Inc. achieved a historic milestone by crossing the $4 trillion market capitalization threshold, cementing its position as one of the most valuable companies globally and reinforcing investor confidence in its arti...",0.945,positive,0.945,1.56,1.474,https://scanx.trade/stock-market-news/global/alphabet-crosses-4-trillion-market-cap-milestone-on-ai-partnership-momentum/29780370,2026-01-13 11:04:09,2026-01-13
ced1b712631fcc94,NVDA,Nvidia,2026-01-10,Yahoo Entertainment,newsapi,BofA Maintains Buy on Nvidia (NVDA) Following CES AI Updates,"BofA Maintains Buy on Nvidia (NVDA) Following CES AI Updates. NVIDIA Corporation (NASDAQ:NVDA) is one of the AI Stocks Analysts Are Watching Closely. On January 6, Bank of America reiterated the stock as Buy, noting that the AI chipmaker is still a top AI pick … [+1755 chars]",0.0,neutral,0.671,1.3,0.0,https://finance.yahoo.com/news/bofa-maintains-buy-nvidia-nvda-082143740.html,2026-01-13 11:04:09,2026-01-13
b0cd0e5b10e0a2a3,NVDA,Nvidia,2026-01-11,Yahoo Entertainment,newsapi,Magnificent 7’s stock market dominance shows signs of cracking,"Magnificent 7’s stock market dominance shows signs of cracking. (Bloomberg) To beat the market in recent years, many investors applied a simple strategy: Load up on the biggest US technology stocks.
It paid handsomely for a long time. But last year, it didnt. Fo… [+8450 chars]",0.595,positive,0.595,1.58,0.942,https://finance.yahoo.com/news/magnificent-7-stock-market-dominance-140007016.html,2026-01-13 11:04:09,2026-01-13
50a68d03fd18fabb,NVDA,Nvidia,2026-01-11,BeInCrypto,newsapi,X Smart Cashtags: Elon Musk’s Platform Eyes Crypto and Stock Trading Integration,"X Smart Cashtags: Elon Musk’s Platform Eyes Crypto and Stock Trading Integration. X unveils Smart Cashtags for live crypto, stock prices, and in-app trading integration. Photo by BeInCrypto
A newly teased feature called Smart Cashtags, revealed by Xs head of product Nikita Bier, … [+4655 chars]",0.0,neutral,0.868,1.58,0.0,https://beincrypto.com/x-smart-cashtags-crypto-stock-trading/,2026-01-13 11:04:09,2026-01-13
39b6997c4321d45a,NVDA,Nvidia,2026-01-10,Yahoo Entertainment,newsapi,CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation,"CoreWeave (CRWV) Emerges as an AI Infrastructure Stock to Watch After Truist Initiation. CoreWeave, Inc. (NASDAQ:CRWV) is one of the AI Stocks Gaining Attention on Wall Street. On January 6, Truist Securities analyst Arvind Ramnani initiated coverage on the stock with a Hold rating and a… [+2117 cha...",0.544,positive,0.544,1.3,0.705,https://finance.yahoo.com/news/coreweave-crwv-emerges-ai-infrastructure-124539079.html,2026-01-13 11:04:09,2026-01-13
35f3c1ed2520a48f,NVDA,Nvidia,2026-01-10,Yahoo Entertainment,newsapi,Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving,"Nvidia takes on Tesla with what Jensen Huang calls the 'ChatGPT moment' for self-driving. ""The ChatGPT moment for physical AI is here when machines begin to understand, reason, and act in the real world.""
So said Nvidia (NVDA) CEO Jensen Huang at CES in Las Vegas, throwing down the the r… [+10301 c...",0.0,neutral,0.86,1.3,0.0,https://finance.yahoo.com/news/nvidia-takes-on-tesla-with-what-jensen-huang-calls-the-chatgpt-moment-for-self-driving-160045664.html,2026-01-13 11:04:10,2026-01-13
2b314c0de7f8eb5a,NVDA,Nvidia,2026-01-11,Decrypt,newsapi,X Plans ‘Smart Cashtags’ to Link Crypto and Stock Tickers to Live Prices,"X Plans ‘Smart Cashtags’ to Link Crypto and Stock Tickers to Live Prices. In brief
<ul><li>The tool, called Smart Cashtags, will let users tag specific stocks or crypto assets, down to individual smart contracts, when posting symbols such as $BTC or $NVDA.</li><li>Tapping… [+2437 chars]",0.0,neutral,0.942,1.58,0.0,https://decrypt.co/354215/x-smart-cashtags-link-crypto-stock-tickers-live-prices,2026-01-13 11:04:10,2026-01-13
f36253eb26ff6256,NVDA,Nvidia,2026-01-12,Yahoo Entertainment,newsapi,Jim Cramer Discusses NVIDIA (NVDA)’s Accelerated Computing Market,"Jim Cramer Discusses NVIDIA (NVDA)’s Accelerated Computing Market. If you click 'Accept all', we and our partners, including 245 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+714 chars]",0.0,neutral,0.947,1.32,0.0,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_8500b50b-400a-473b-9498-817efc130bc8,2026-01-13 11:04:10,2026-01-13
